Date,SZ,DFM,NXZ50,Russia,WIG,SET,Singapore,Italy
2024/4/15,3057.38,4243.78,11916.78,1167.62,83173.12,,3183.61,33954.28
2024/4/12,3019.47,,11931.32,1165.87,82864.67,,3216.91,33764.15
2024/4/11,3034.25,,11934.31,1161.43,83492.28,1396.38,3227.61,33713.94
2024/4/10,3027.33,,11971.92,1158.68,84406.4,1408.17,,34039.63
2024/4/9,3048.54,,11917.93,1157.95,83705.16,1401.11,3237.52,33946.29
2024/4/8,3047.05,,11973.59,1163.17,84664.91,,3215.99,34315.96
2024/4/5,,4244.15,12012.24,1156.92,83642.11,1375.58,3218.26,34010.88
2024/4/4,,4246.67,11940.35,1164.39,83866.96,1373.89,3235.01,34454.58
2024/4/3,3069.3,4240.05,12015.31,1157.82,82863.21,1375.69,3222.66,34480.87
2024/4/2,3074.96,4269.4,12031.6,1149.46,82895.6,1379.46,3247.72,34325.23
2024/4/1,3077.38,4263.29,12045.78,1147.3,,1379.48,3234.89,
2024/3/29,3041.17,4246.27,,1135.73,,1377.94,,
2024/3/28,3010.66,4232.94,12105.29,1126.27,82745.58,1370.34,3224.01,34750.35
2024/3/27,2993.14,4231.79,11977.98,1128.36,81560.33,1380.83,3251.71,34759.69
2024/3/26,3031.48,4246.23,12008.02,1115.48,81286.31,1377.23,3233.33,34688.17
2024/3/25,3026.31,4281.55,12006.96,1113.5,80081.15,1372.49,3198.1,34639.41
2024/3/22,3048.03,4280.35,11978.62,1111.78,80992.64,1381.04,3217.97,34343.61
2024/3/21,3077.11,4277.61,11966.04,1124.14,81814.93,1387.62,3220.37,34327.95
2024/3/20,3079.69,4291.37,11785.44,1114.8,79709.28,1373.18,3177.48,34293.29
2024/3/19,3062.76,4272.76,11775.94,1111.56,79698.76,1382.46,3173.55,34262.36
2024/3/18,3084.93,4275.38,11744.85,1129.5,79997.2,1385.94,3171.93,33940.96
2024/3/15,3054.64,4262.48,11766.98,1119.66,80199.35,1386.04,3172.96,33940.03
2024/3/14,3038.23,4290.34,11742.13,1133.12,81787.89,1394.93,3186.4,33786.18
2024/3/13,3043.83,4259.24,11772.2,1142.39,81647.32,1384.51,3160.72,33885.43
2024/3/12,3055.94,4252.77,11829.18,1144.53,81916.43,1379.63,3141.47,33753.12
2024/3/11,3068.46,4248.1,11853.23,1153.65,80359.43,1380.23,3138.42,33315.07
2024/3/8,3046.02,4253.08,11923.72,,80199.54,1386.42,3147.09,33403.8
2024/3/7,3027.4,4236.98,11803.93,1152.12,79879.2,1372.16,3133.78,33418.68
2024/3/6,3039.93,4248.3,11795.9,1151.68,80742.03,1370.55,3136.14,33363.84
2024/3/5,3047.79,4245.8,11753.02,1147.64,80537.55,1359.26,3107.1,33146.16
2024/3/4,3039.31,4326.62,11704.51,1137.53,81264.27,1362.59,3122.21,32912.34
2024/3/1,3027.02,4356.61,11744.39,1122.32,82172.36,1367.42,3135.76,32934.29
2024/2/29,3015.17,4308.77,11741.47,1127.32,81944.56,1370.67,3141.85,32580.94
2024/2/28,2957.85,4290.38,11763.32,1114.87,81661.42,1382.05,3138.93,32617.96
2024/2/27,3015.48,4272.55,11694.6,1097.34,83007.32,1393.7,3157.32,32706.44
2024/2/26,2977.02,4223.25,11669.14,1097.4,83116.29,,3171.12,32557.81
2024/2/23,3004.88,4225.9,11719.82,,83265.56,1398.14,3184.91,32700.92
2024/2/22,2988.36,4229.21,11690.25,1064.44,82464.52,1402.47,3222.94,32356.26
2024/2/21,2950.96,4254.99,11590.47,1068.09,81412.34,1393.61,3217.11,32018.4
2024/2/20,2922.73,4277.36,11571.22,1093.57,81780.51,1381.07,3244.06,31701.48
2024/2/19,2910.54,4272.96,11601.44,1105.63,80827.33,1387.33,3225.91,31676.05
2024/2/16,,4258.78,11724.48,1107.33,80147.01,1386.27,3221.94,31732.39
2024/2/15,,4238.95,11642.21,1113.65,79333.22,1387.27,3176.69,31694.44
2024/2/14,,4223.48,11648.93,1122.52,79421.21,1385.11,3139.07,31329.38
2024/2/13,,4219.31,11669.05,1123.08,78038.67,1391.73,3141.87,31134.17
2024/2/12,,4210.96,11722.57,1120.94,79424.63,1389.3,,31456.73
2024/2/9,,4183.86,11862.95,1122.38,78450.66,1388.37,3138.3,31156.06
2024/2/8,2865.9,4159.1,11872.33,1124.94,78711.66,1388.6,3142.91,31064.15
2024/2/7,2829.7,,11952.17,1124.71,79473.35,1400.02,3156.15,30976.02
2024/2/6,2789.49,4153.74,11886.34,1119.01,79150.11,1396.96,3125.68,31116.75
2024/2/5,2702.19,4230.7,11928.7,1123.72,79002.75,1383.93,3134.29,30952.79
2024/2/2,2730.15,4228.74,11931.23,1117.31,79575.14,1384.08,3179.77,30717.95
2024/2/1,2770.74,4220.35,11916.78,1124.67,78417.88,1367.96,3143.06,30689.11
2024/1/31,2788.55,4169.08,11872.1,1125.63,77416.31,1364.52,3153.01,30744.24
2024/1/30,2830.53,4168.43,11914.4,1122.53,76072.25,1373.14,3150.04,30623.27
2024/1/29,2883.36,4170.59,11871.02,1125.22,75347.11,1376.28,3140.31,30233.61
2024/1/26,2910.22,4163.33,11875.03,1109.95,75683.59,1368.15,3159.53,30379.33
2024/1/25,2906.11,4173.55,11889.63,1119.39,75219.71,1376.09,3147.64,30157.8
2024/1/24,2820.77,4181.47,11856.61,1124.09,75351.32,1381.19,3153.33,30338.35
